OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
29070,INDEPENDENCE MO,1014,WM Supercenter,Retail,4000 S BOLGER RD,INDEPENDENCE,JACKSON,MO,64055-6776,Open,e5854e40-a581-4ee7-ba74-4ccd1a34db4d,-10504886.9443,4728281.5983
29071,"EL PASO, TX",1015,WM Supercenter,Retail,7555 N MESA ST,EL PASO,EL PASO,TX,79912-3505,Open,df5a7c85-91d7-4fc6-8b17-2b9eaf6104ed,-11862862.7258,3741821.6711
29072,THIBODAUX LA,1016,WM Supercenter,Retail,410 N CANAL BLVD,THIBODAUX,LAFOURCHE,LA,70301-2956,Open,1229d1fe-5fe6-4655-95b2-6a80ef02c24f,-10109848.4692,3479089.7363
29073,MANNING SC,1017,WM Supercenter,Retail,2010 PAXVILLE HWY,MANNING,CLARENDON,SC,29102-6434,Open,52f1ac69-15f7-4886-b079-b196a0635f02,-8930738.953,3988630.4143
29074,EASTMAN GA,1018,WM Supercenter,Retail,1099 INDIAN DR,EASTMAN,DODGE,GA,31023-7663,Open,f529fc5b-35c0-4a75-a1d8-6b7407c0b69b,-9259299.9886,3786824.3746
29075,CANON CITY CO,1019,WM Supercenter,Retail,3105 E US HIGHWAY 50,CANON CITY,FREMONT,CO,81212-2797,Open,c04d0029-46ad-47fd-a454-57faebe79ab6,-11709858.8724,4643002.034
29076,STUTTGART AR,102,WM Supercenter,Retail,406 E 22ND ST,STUTTGART,ARKANSAS,AR,72160-9006,Open,11a1c425-3dab-4e62-a9b7-514ff0859fb5,-10191193.9626,4093040.5581
29077,ALBERT LEA MN,1020,WM Supercenter,Retail,1550 BLAKE AVE,ALBERT LEA,FREEBORN,MN,56007-6304,Open,34435796-bb7d-4bdd-b608-283d3b103a8e,-10388950.3663,5413599.0239
29078,WARRENTON MO,1021,WM Supercenter,Retail,500 WARREN COUNTY CTR,WARRENTON,WARREN,MO,63383-3023,Open,1be85085-f72c-413f-a6e5-5f2fe3a3383b,-10145954.6121,4696398.1847
29079,TYLER (W) TX,1022,WM Supercenter,Retail,3820 STATE HIGHWAY 64 W,TYLER,SMITH,TX,75704-6924,Open,fce41155-fa98-464f-8b77-2a4854f0b953,-10613811.0623,3809498.7017
29080,GALAX VA,1023,WM Supercenter,Retail,1140 E STUART DR,GALAX,GALAX CITY,VA,24333-2630,Open,cf943141-2b35-4671-8c42-3215b84d88d1,-9003641.197,4396349.6727
29081,SWAINSBORO GA,1024,WM Supercenter,Retail,414 S MAIN ST,SWAINSBORO,EMANUEL,GA,30401-3676,Open,c47fdefa-27e3-4eb1-a14f-cb30a0b7aef4,-9164991.3405,3840763.9638
29082,MCCOMB MS,1025,WM Supercenter,Retail,1608 VETERANS BLVD,MCCOMB,PIKE,MS,39648-2031,Open,f25607ee-4c26-4446-908b-68bd3cf80705,-10071446.8071,3667012.4355
29083,BEDFORD IN,1026,WM Supercenter,Retail,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,Open,bbf515a0-6e81-49f0-a39f-25789474c439,-9630812.9817,4702408.7177
29084,CONCORD NC,1027,WM Supercenter,Retail,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,Open,b05e6184-deb2-487a-8ccb-bfed3088f298,-8974891.4914,4216860.3662
29085,"EAST PEORIA, IL",1028,WM Supercenter,Retail,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,Open,a4accae4-3790-401b-a90a-e2eb646673a3,-9972552.3526,4965807.2049
29086,HOMOSASSA FL,1029,WM Supercenter,Retail,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,Open,f106d876-b979-476b-99ec-7451658aaddb,-9189423.0744,3345498.4185
29087,SHAWNEE OK,103,WM Supercenter,Retail,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,Open,d5bba7f2-8ac3-4348-bce1-fe8a7a334970,-10789279.0776,4216564.7434
29088,LANCASTER SC,1030,WM Supercenter,Retail,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,Open,7d282d2f-11a9-4d73-ac33-eca96d4598c6,-8992918.1244,4127825.3049
29090,PANAMA CITY FL,1032,WM Supercenter,Retail,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,Open,ea881fc2-f705-457f-8b2e-d90a7dad5aa1,-9534099.4987,3532670.0874
29091,SEYMOUR IN,1033,WM Supercenter,Retail,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,Open,23571ea8-bbe1-4f6c-b32f-783caeee7f2f,-9558364.81,4715432.0347
29092,SHELBY NC,1034,WM Supercenter,Retail,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,Open,d80139be-e87d-4c9d-842f-eb4391f03877,-9075874.6335,4201637.2969
29093,SPARTANBURG SC,1035,WM Supercenter,Retail,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,Open,5f72fcb7-1892-450f-befd-56e2c4f9c6c0,-9126521.8848,4154819.3487
29094,"FOREST CITY, NC",1036,WM Supercenter,Retail,197 PLAZA DR,FOREST CITY,RUTHERFORD,NC,28043-3712,Open,f75e40b8-4c17-4cbc-a0b5-16cf6fb54236,-9117011.3041,4209503.0141
29095,SUMMERVILLE SC,1037,WM Supercenter,Retail,1317 N MAIN ST STE A1,SUMMERVILLE,BERKELEY,SC,29483-7342,Open,1d642975-3cf1-43dd-adbf-01d547cd2699,-8922633.8922,3899940.1927
29096,WASECA MN,1038,WM Supercenter,Retail,2103 STATE ST N,WASECA,WASECA,MN,56093-2605,Open,dccbc510-56ab-4b3e-93cc-982a76ce923e,-10409478.571,5480539.386
29097,MOUNT AIRY NC,1039,WM Supercenter,Retail,2241 ROCKFORD ST,MOUNT AIRY,SURRY,NC,27030-5262,Open,b2a16de2-2aa7-423b-9486-f0d9c72c57a4,-8974406.695,4365750.9872
29098,MILAN TN,104,WM Supercenter,Retail,15427 S FIRST ST,MILAN,GIBSON,TN,38358-6475,Open,90ec2f57-6c69-4376-ad4e-682afa30b9f2,-9879372.3728,4283595.7679
29099,HOUSTON (SPENCER) TX,1040,WM Supercenter,Retail,15955 FM 529 RD,HOUSTON,HARRIS,TX,77095-2513,Open,7607e4de-12c2-4a03-8bf6-36b82e920481,-10647899.5394,3487746.9357
29100,WESLACO TX,1041,WM Supercenter,Retail,1310 N TEXAS BLVD,WESLACO,HIDALGO,TX,78599-0000,Open,48528732-9924-478e-ae95-89779777fa3d,-10907947.8811,3020739.2624
29101,BASTROP TX,1042,WM Supercenter,Retail,488 HIGHWAY 71 W,BASTROP,BASTROP,TX,78602-3731,Open,089a6c7f-7228-40db-9f87-bbe11c9eeb45,-10835004.2263,3516846.7275
29102,PAULS VALLEY OK,1043,WM Supercenter,Retail,2008 W GRANT AVE,PAULS VALLEY,GARVIN,OK,73075-9230,Open,6a924f71-2218-45aa-b7ae-62308fbb497f,-10825685.2265,4128151.085
29103,TYLER TX,1044,WM Supercenter,Retail,5050 TROUP HWY,TYLER,SMITH,TX,75707-1916,Open,235fa9e2-87e2-45ee-be75-91b906bd6701,-10604311.9475,3802497.3012
29104,LAFAYETTE CO,1045,WM Supercenter,Retail,745 US HIGHWAY 287,LAFAYETTE,BOULDER,CO,80026-8955,Open,cd19079d-72bd-4955-a414-9e2c7e4f6841,-11700250.2193,4866813.0588
29105,CARRIZO SPRINGS TX,1046,Wal-Mart,Retail,2214 N 1ST ST,CARRIZO SPRINGS,DIMMIT,TX,78834-2036,Open,9631f7ee-8192-4608-be97-d634fdb58e8c,-11115089.8538,3317580.6487
29106,MORROW GA,1047,WM Supercenter,Retail,6065 JONESBORO RD,MORROW,CLAYTON,GA,30260-1106,Open,d86aeff6-7677-4bfd-bbda-5f19a353fde3,-9388720.0286,3973841.0554
29107,WILLIAMSBURG KY,1048,WM Supercenter,Retail,589 W HIGHWAY 92,WILLIAMSBURG,WHITLEY,KY,40769-1684,Open,bd9e6c7d-1e13-4ff8-abff-97933c35e224,-9369956.6831,4400239.7838
29109,CORINTH MS,105,WM Supercenter,Retail,2301 S HARPER RD,CORINTH,ALCORN,MS,38834-6771,Open,ef235cd6-1450-4a33-976a-97bb82b2fd92,-9851997.2402,4151671.0659
29111,LEVELLAND TX,1051,WM Supercenter,Retail,407 E STATE ROAD 114,LEVELLAND,HOCKLEY,TX,79336-2629,Open,fc818fd1-888a-434d-80a9-f6a0fae58776,-11394808.6835,3974720.5312
29112,FAYETTE AL,1052,WM Supercenter,Retail,3186 HIGHWAY 171 N,FAYETTE,FAYETTE,AL,35555-6172,Open,11b08ca0-01a0-40db-b9ed-5eaad1783ad9,-9774813.426,3992829.9923
29113,LA GRANGE KY,1053,WM Supercenter,Retail,1015 NEW MOODY LN,LA GRANGE,OLDHAM,KY,40031-9142,Open,a17c36ac-c91b-4967-9e41-75c167f4d548,-9503623.4504,4635330.0308
29114,ATCHISON KS,1054,WM Supercenter,Retail,1920 HIGHWAY 73,ATCHISON,ATCHISON,KS,66002-5102,Open,30dd2154-7a62-479a-9f9f-404a1a82aa90,-10589737.2205,4799388.6311
29115,GARLAND TX,1055,WM Supercenter,Retail,5302 N GARLAND AVE,GARLAND,DALLAS,TX,75040-2715,Open,cf3f52b8-a5f5-450e-9424-3493911dd376,-10758200.9021,3890312.3976
29116,NEWCASTLE OK,1056,WM Supercenter,Retail,3300 TRI CITY DR,NEWCASTLE,MCCLAIN,OK,73065-6599,Open,920b4f04-a069-4084-89f5-f98a756bfb02,-10865502.2046,4203891.2818
29118,TALLASSEE AL EF,1057,WM Supercenter,Retail,2190 GILMER AVENUE,TALLASSEE,ELMORE,AL,36078-7123,Open,0fb23013-df67-4c2d-a6bf-5f65f4fb2b2a,-9565832.2327,3837827.7902
